Title,Artist,Type
Only Time,Enya,Ballad!
Oops!... I Did it Again,Britney Spears,Happy!
Ordinary World,Duran Duran,Banger!
Over The Rainbow,Eva Cassidy,Soulful!
Over The Rainbow / What A Wonderful World,Israel Kamakawiwo'ole,Soulful!
Party In The U.S.A.,Miley Cyrus,Happy!
Penny Lane,The Beatles,Banger!
Photograph,Ed Sheeran,Soulful!
Piano Man,Billy Joel,Banger!
Piece Of My Heart,Janis Joplin,Banger!
Proud Mary,Creedence Clearwater Revival,Rock!
Rapper's Delight,Sugarhill Gang,Banger!
Rebel Yell,Billy Idol,Rock!
Redemption Song,Bob Marley,Banger!
Rehab,Amy Winehouse,Banger!
Remember When,Alan Jackson,Ballad!
Respect,Aretha Franklin,Banger!
Rhythm Of The Night,Moulin Rouge!,Happy!
Rivers of Babylon,Boney M.,Banger!
Rock Around The Clock,Bill Haley & His Comets,Rock!
Rock DJ,Robbie Williams,Happy!
Rock You Like A Hurricane,Scorpions,Rock!
Rockin' All Over The World,Status Quo,Rock!
Rolling In The Deep,Adele,Soulful!
Roxanne,The Police,Banger!
Royals,Lorde,Happy!
September,"Earth, Wind & Fire",Banger!
Set Fire To The Rain,Adele,Soulful!
Sex On Fire,Kings of Leon,Rock!
Sexual Healing,Marvin Gaye,Banger!
Shake It Off,Taylor Swift,Happy!
Shake Your Groove Thing,Peaches And Herb,Happy!
Shallow,Lady Gaga and Bradley Cooper,Power Ballad!
Sharp Dressed Man,ZZ Top,Rock!
She bangs,Ricky Martin,Happy!
She Will Be Loved,Maroon 5,Ballad!
Since you've been gone ,Kelly Clarkson,Happy!
Skinny Love,Bon Iver,Soulful!
Skyfall,Adele,Soulful!
Sleeping Sun,Nightwish,Rock!
Smells Like Teen Spirit,Nirvana,Rock!
Smoke On The Water,Deep Purple,Rock!
Somebody Told Me,The Killers,Rock!
Someone like you,Adele,Power Ballad!
Somethin' Stupid,Robbie Williams,Banger!
Somewhere Over The Rainbow,Judy Garland,Soulful!
Son Of A Preacher Man,Dusty Springfield,Banger!
Space Oddity,David Bowie,Banger!
Stand By Me,Ben E. King,Banger!
Stand By Your Man,Tammy Wynette,Banger!
Starman,David Bowie,Banger!
Starway To Haven,Led Zeppelin,Ballad!
Stay,Rihanna,Soulful!
Stayin' Alive,Bee Gees,Banger!
Story Of My Life,One Direction,Happy!
Strawberry Fields Forever,The Beatles,Banger!
Streets Of London,Ralph McTell,Soulful!
Stuck In The Middle With You,Stealers Wheel,Banger!
Sultans of Swing,Dire Straits,Rock!
Summer Nights,John Travolta and Olivia Newton John,Happy!
Summer of 69,Bryan Adams,Rock!
Summertime,Ella Fitzgerald,Soulful!
Sunday Morning,Maroon 5,Soulful!
Suspicious Minds,Elvis,Banger!
Suspicious Minds,Elvis Presley,Banger!
Sweet Caroline,DJ Ötzi,Happy!
Sweet Child O'Mine,Guns N' Roses,Rock!
Sweet Dreams Are Made Of This,Eurythmics,Banger!
Sweet Home Chicago,The Blues Brothers,Happy!
T.N.T,AC/DC,Rock!
"Take Me Home, Country Roads",John Denver,Banger!
Take Me To Church,Hozier,Soulful!
Take On Me,a-ha,Banger!
Tears In Heaven,Eric Clapton,Ballad!
Thank You For The Music,ABBA,Banger!
That's Amore,Dean Martin,Banger!
That's Life,Frank Sinatra,Banger!
The A Team,Ed Sheeran,Soulful!
The Best,Tina Turner,Banger!
The Final Countdown,Europe,Rock!
The Gambler,Kenny Rogers,Banger!
The Girl From Ipanema,Frank Sinatra,Banger!
The Girl From Yesterday,The Eagles,Banger!
The Lady Is A Tramp,Ella Fitzgerald,Banger!
The Lazy Song,Bruno Mars,Happy!
The Look,Roxette,Banger!
The Reason,Hoobastank,Rock!
The Rose,Bette Midler,Ballad!
The Show Must Go On,Queen,Rock!
The Sound Of Silence,Simon and GarHappy!kel,Soulful!
